embedding,mode,klass,pair_id,cosine,tanimoto,identical,bg_median,separation
ECFP4+stereo,stereo_flip,A,stereo_flip_000,0.01785719394683838,0.0350877046585083,False,0.7678571343421936,0.023255880922079086
ECFP4+stereo,stereo_flip,A,stereo_flip_001,0.055088818073272705,0.10447758436203003,False,0.7720788717269897,0.07135128229856491
ECFP4+stereo,stereo_flip,A,stereo_flip_002,0.07936513423919678,0.14705884456634521,False,0.7858670353889465,0.10099053382873535
ECFP4+stereo,stereo_flip,A,stereo_flip_003,0.07407397031784058,0.13793104887008667,False,0.7699781060218811,0.09620269387960434
ECFP4+stereo,stereo_flip,A,stereo_flip_004,0.07999992370605469,0.14814811944961548,False,0.8075498938560486,0.09906499087810516
ECFP4+stereo,stereo_flip,A,stereo_flip_005,0.07936513423919678,0.14705884456634521,False,0.7702770233154297,0.10303453356027603
ECFP4+stereo,stereo_flip,A,stereo_flip_006,0.07352936267852783,0.13698631525039673,False,0.7667962312698364,0.09589166194200516
ECFP4+stereo,stereo_flip,A,stereo_flip_007,0.0724637508392334,0.13513511419296265,False,0.7996658086776733,0.09061754494905472
ECFP4+stereo,stereo_flip,A,stereo_flip_008,0.08928573131561279,0.16393440961837769,False,0.836972177028656,0.10667706280946732
ECFP4+stereo,stereo_flip,A,stereo_flip_009,0.08394277095794678,0.15492957830429077,False,0.7969093918800354,0.10533539950847626
ECFP4+stereo,stereo_flip,A,stereo_flip_010,0.0547945499420166,0.10389608144760132,False,0.7761745452880859,0.0705956518650055
ECFP4+stereo,stereo_flip,A,stereo_flip_011,0.1333332657814026,0.23529410362243652,False,0.7934067249298096,0.1680516004562378
ECFP4+stereo,stereo_flip,A,stereo_flip_012,0.06666684150695801,0.125,False,0.7672343254089355,0.08689241111278534
ECFP4+stereo,stereo_flip,A,stereo_flip_013,0.018867969512939453,0.037037014961242676,False,0.8296251893043518,0.02274276316165924
ECFP4+stereo,stereo_flip,A,stereo_flip_014,0.06172835826873779,0.11627906560897827,False,0.7957246899604797,0.07757502049207687
ECFP4+stereo,stereo_flip,A,stereo_flip_015,0.020833373069763184,0.040816307067871094,False,0.7958758473396301,0.026176661252975464
ECFP4+stereo,stereo_flip,A,stereo_flip_016,0.008230626583099365,0.016393423080444336,False,0.7946842312812805,0.010357103310525417
ECFP4+stereo,stereo_flip,A,stereo_flip_017,0.0724637508392334,0.13513511419296265,False,0.791485607624054,0.09155409783124924
ECFP4+stereo,stereo_flip,A,stereo_flip_018,0.09999990463256836,0.1818181872367859,False,0.8431071043014526,0.11860878020524979
ECFP4+stereo,stereo_flip,A,stereo_flip_019,0.024390220642089844,0.0476190447807312,False,0.7703614830970764,0.03166074678301811
ECFP4+stereo,stereo_flip,A,stereo_flip_020,0.04315263032913208,0.08333331346511841,False,0.8032889366149902,0.053719937801361084
ECFP4+stereo,stereo_flip,A,stereo_flip_021,0.06557393074035645,0.1230769157409668,False,0.7827142477035522,0.08377761393785477
ECFP4+stereo,stereo_flip,A,stereo_flip_022,0.08928573131561279,0.16393440961837769,False,0.790492057800293,0.11294956505298615
