track,model,n_tasks,win_rate_vs_chemeleon
polaris,CheMeleon,28,0/28
polaris,Chemprop,28,3/28
polaris,Chemprop_Mordred,28,6/28
polaris,MLP_PLR_Pretrained,28,7/28
polaris,MoLFormer,28,5/28
polaris,MolCLR,28,2/28
polaris,PCA_MLP,28,5/28
polaris,PCA_MLP_Prefitted,28,6/28
polaris,RF,28,10/28
polaris,RF_Mordred,28,7/28
polaris,RF_Morgan,28,4/28
polaris,RF_Morgan_Physchem,28,11/28
polaris,chemeleon_frozen,28,5/28
polaris,ecfp4,28,5/28
polaris,fastprop,28,6/28
polaris,fp_desc,28,9/28
polaris,minimol,28,14/28
polaris,random_baseline_00,28,3/28
polaris,skip_dense_8M,28,7/28
polaris,skip_dense_plus_sparse_8M,28,6/28
polaris,skip_minimol_full_8M,28,0/28
polaris,skip_mixed_8M,28,6/28
polaris,skip_sparse_all_8M,28,3/28
polaris,u2s_dense_from8M,28,5/28
polaris,u2s_dense_plus_sparse_from8M,28,1/28
polaris,u2s_minimol_full_from8M,28,0/28
polaris,u2s_mixed_from8M,28,4/28
polaris,u2s_sparse_all_from8M,28,1/28
polaris,unsup_8M,28,4/28
moleculeace,CheMeleon,30,0/30
moleculeace,Chemprop,30,0/30
moleculeace,Chemprop_Mordred,30,0/30
moleculeace,MLP_PLR_Pretrained,30,0/30
moleculeace,MoLFormer,30,0/30
moleculeace,MolCLR,30,0/30
moleculeace,PCA_MLP,30,0/30
moleculeace,PCA_MLP_Prefitted,30,1/30
moleculeace,RF,30,7/30
moleculeace,RF_Mordred,30,3/30
moleculeace,RF_Morgan,30,10/30
moleculeace,chemeleon_frozen,30,0/30
moleculeace,ecfp4,30,8/30
moleculeace,fastprop,30,1/30
moleculeace,fp_desc,30,12/30
moleculeace,minimol,30,7/30
moleculeace,random_baseline_00,30,0/30
moleculeace,skip_dense_8M,30,1/30
moleculeace,skip_dense_plus_sparse_8M,30,0/30
moleculeace,skip_minimol_full_8M,30,0/30
moleculeace,skip_mixed_8M,30,1/30
moleculeace,skip_sparse_all_8M,30,0/30
moleculeace,u2s_dense_from8M,30,1/30
moleculeace,u2s_dense_plus_sparse_from8M,30,0/30
moleculeace,u2s_minimol_full_from8M,30,0/30
moleculeace,u2s_mixed_from8M,30,0/30
moleculeace,u2s_sparse_all_from8M,30,0/30
moleculeace,unsup_8M,30,1/30
